127.0.0.1 | 2025-04-30 16:39:40.702372 | GET index.html | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 16:39:40.759688 | GET favicon.ico | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 16:42:07.113318 | GET favicon.ico | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 16:44:49.137077 | GET index.html | 404 Not Found | curl/8.7.1
127.0.0.1 | 2025-04-30 21:39:03.261888 | GET index.html/ | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 21:39:03.315210 | GET favicon.ico | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 21:41:22.793473 | GET index.html/ | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 21:54:52.462771 | GET index.html/ | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 22:05:25.793847 | GET index.html | 404 Not Found | python-requests/2.32.3
127.0.0.1 | 2025-04-30 22:05:35.643703 | GET index.html/ | 404 Not Found | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
127.0.0.1 | 2025-04-30 22:05:35.653204 | GET doesnotexist.html | 404 Not Found | python-requests/2.32.3
